student_id,attendance_pct,assignments_avg,midterm,final,pass
S1152,91,100,62,88,1
S1153,62,80,63,24,0
S1154,100,75,48,22,0
S1155,81,72,32,72,1
S1156,88,43,31,42,0
S1157,98,72,65,72,1
S1158,81,53,21,56,0
S1159,53,60,54,93,1
S1160,79,87,100,93,1
S1161,86,59,27,36,0
S1162,72,95,45,97,1
S1163,88,47,93,92,1
S1164,94,46,53,20,0
S1165,64,42,26,70,1
S1166,92,56,87,64,1
S1167,78,72,77,96,1
S1168,85,87,94,23,1
S1169,62,51,48,81,1
S1170,81,98,55,84,1
S1171,56,90,40,51,1
S1172,100,61,55,53,1
S1173,71,94,29,91,1
S1174,77,61,92,58,1
S1175,51,85,43,45,1
S1176,91,69,83,53,1
S1177,94,77,68,73,1
S1178,55,77,55,22,0
S1179,77,84,43,69,1
S1180,77,90,42,31,0
S1181,93,93,81,84,1
S1182,93,47,56,73,1
S1183,69,66,31,24,0
S1184,79,66,74,76,1
S1185,60,73,32,36,0
S1186,77,60,42,66,1
S1187,74,69,49,42,0
S1188,88,72,36,98,1
S1189,82,67,81,33,1
S1190,50,86,32,85,1
S1191,76,72,78,94,1
S1192,62,44,38,70,1
S1193,90,99,68,57,1
S1194,52,100,31,83,1
S1195,88,87,80,57,1
S1196,55,58,38,69,1
S1197,57,43,95,49,1
S1198,76,74,28,98,1
S1199,58,88,90,70,1
